GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,SOURCEURL
253905845,20130413,201304,2013,2013.2822,HLH,HOSPITAL,,,,,,HLH,,, IDNHLH,INDONESIA,IDN,,,,,HLH,,,1,182,182,18,4,-9.5,1,1,1,0.456621005,4,"Denpasar, Bali, Indonesia",ID,ID02,-8.65,115.217,-2676772,4,"Bandung, Jawa Barat, Indonesia",ID,ID30,-6.90389,107.619,-2671576,5,"West Java, Jawa Barat, Indonesia",ID,ID30,-6.75,107.5,-2679921,20130413,http://en.trend.az/regions/world/ocountries/2138839.html,2013
253905846,20130413,201304,2013,2013.2822,HLH,HOSPITAL,,,,,,HLH,,, IDNHLH,INDONESIA,IDN,,,,,HLH,,,1,182,182,18,4,-9.5,2,1,2,0.456621005,4,"Sanglah, Bali, Indonesia",ID,ID02,-8.6777,115.216,10866767,4,"Sanglah, Bali, Indonesia",ID,ID02,-8.6777,115.216,10866767,4,"Sanglah, Bali, Indonesia",ID,ID02,-8.6777,115.216,10866767,20130413,http://en.trend.az/regions/world/ocountries/2138839.html,2013
253906086,20130413,201304,2013,2013.2822,IDNHLH,INDONESIA,IDN,,,,,HLH,,, HLH,HOSPITAL,,,,,,HLH,,,1,10,10,1,1,0,1,1,1,0.456621005,4,"Bandung, Jawa Barat, Indonesia",ID,ID30,-6.90389,107.619,-2671576,5,"West Java, Jawa Barat, Indonesia",ID,ID30,-6.75,107.5,-2679921,5,"West Java, Jawa Barat, Indonesia",ID,ID30,-6.75,107.5,-2679921,20130413,http://en.trend.az/regions/world/ocountries/2138839.html,2013
253906087,20130413,201304,2013,2013.2822,IDNHLH,INDONESIA,IDN,,,,,HLH,,, HLH,HOSPITAL,,,,,,HLH,,,1,10,10,1,1,0,6,1,6,0.456621005,4,"Sanglah, Bali, Indonesia",ID,ID02,-8.6777,115.216,10866767,4,"Sanglah, Bali, Indonesia",ID,ID02,-8.6777,115.216,10866767,4,"Sanglah, Bali, Indonesia",ID,ID02,-8.6777,115.216,10866767,20130413,http://en.trend.az/regions/world/ocountries/2138839.html,2013
254165819,20130422,201304,2013,2013.3068,GOVHLH,PREMIER,,,,,,GOV,HLH,, HLH,HOSPITAL,,,,,,HLH,,,1,141,141,14,3,-6.5,2,1,2,0,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,20130422,http://www.thejakartapost.com/news/2013/04/22/hospital-workers-protest-dismissal.html,2013
254742553,20130509,201305,2013,2013.3534,COPHLH,POLICE,,,,,,COP,HLH,, IDNHLH,SEMARANG,IDN,,,,,HLH,,,0,90,90,9,2,-2,1,1,1,0.608272506,4,"Bandung, Jawa Barat, Indonesia",ID,ID30,-6.90389,107.619,-2671576,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20130509,http://www.thejakartapost.com/news/2013/05/10/terror-suspects-linked-poso.html,2013
254742554,20130509,201305,2013,2013.3534,COPHLH,POLICE,,,,,,COP,HLH,, IDNHLH,INDONESIA,IDN,,,,,HLH,,,0,90,90,9,2,-2,2,1,2,0.608272506,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Semarang, Jawa Tengah, Indonesia",ID,ID07,-6.9932,110.42,-2696070,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20130509,http://www.thejakartapost.com/news/2013/05/10/terror-suspects-linked-poso.html,2013
254742555,20130509,201305,2013,2013.3534,COPHLH,POLICE,,,,,,COP,HLH,, IDNHLH,SEMARANG,IDN,,,,,HLH,,,0,90,90,9,2,-2,5,1,5,0.608272506,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Semarang, Jawa Tengah, Indonesia",ID,ID07,-6.9932,110.42,-2696070,4,"Semarang, Jawa Tengah, Indonesia",ID,ID07,-6.9932,110.42,-2696070,20130509,http://www.thejakartapost.com/news/2013/05/10/terror-suspects-linked-poso.html,2013
255183746,20130522,201305,2013,2013.389,HLH,DOCTOR,,,,,,HLH,,, IDNHLH,MEDAN,IDN,,,,,HLH,,,1,20,20,2,1,3,1,1,1,1.410934744,4,"Langkat, Aceh, Indonesia",ID,ID01,3.7181,98.2202,-2684475,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Langkat, Aceh, Indonesia",ID,ID01,3.7181,98.2202,-2684475,20130522,http://www.thejakartapost.com/news/2013/05/23/no-investigation-tourist-s-death.html,2013
255183747,20130522,201305,2013,2013.389,HLH,DOCTOR,,,,,,HLH,,, IDNHLH,MEDAN,IDN,,,,,HLH,,,1,20,20,2,1,3,6,1,6,1.410934744,4,"Medan, Sumatera Utara, Indonesia",ID,ID26,3.58333,98.6667,-2687472,4,"Medan, Sumatera Utara, Indonesia",ID,ID26,3.58333,98.6667,-2687472,4,"Medan, Sumatera Utara, Indonesia",ID,ID26,3.58333,98.6667,-2687472,20130522,http://www.thejakartapost.com/news/2013/05/23/no-investigation-tourist-s-death.html,2013
257012777,20130621,201306,2013,2013.4685,GOVHLH,HEALTH MINIST ,,,,,,GOV,HLH,, HLH,HOSPITAL,,,,,,HLH,,,0,112,112,11,3,-2,2,1,2,2.076677316,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,20130621,http://www.straitstimes.com/breaking-news/singapore/story/haze-update-government-moves-address-concerns-over-haze-20130622,2013
257105354,20130622,201306,2013,2013.4712,GOVHLH,HEALTH MINIST ,,,,,,GOV,HLH,, HLH,HOSPITAL,,,,,,HLH,,,0,112,112,11,3,-2,2,1,2,2.076677316,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,20130622,http://www.straitstimes.com/the-big-story/the-haze-singapore/story/haze-update-government-moves-address-concerns-over-haze-20130,2013
